;Nom;Nb sommets;Nb arcs;Valeur relax;Temps flot;Temps relax PLNE;Valeur matching;Temps matching PLNE;Valeur PLNE K=3;Temps PLNE K=3;Valeur PLNE K=4;Temps PLNE K=4
125;00036-00000090.wmd;67.0;988.0;36.0;3;1.0;;;;;36.0;31.0
126;00036-00000064.wmd;36.0;491.0;27.0;0;0.0;;;27.0;8.0;27.0;1.0
127;00036-00000085.wmd;67.0;1282.0;39.0;4;1.0;;;;;39.0;18.0
128;00036-00000101.wmd;73.0;1786.0;47.0;7;2.0;;;;;47.0;19.0
129;00036-00000044.wmd;33.0;274.0;16.0;0;0.0;13.0;29.0;16.0;0.0;16.0;0.0
130;00036-00000150.wmd;147.0;7841.0;100.0;139;21.0;;;;;;
131;00036-00000076.wmd;64.0;999.0;44.0;4;0.0;;;;;44.0;12.0
132;00036-00000013.wmd;17.0;76.0;4.0;0;0.0;3.0;0.0;4.0;0.0;4.0;0.0
133;00036-00000043.wmd;33.0;290.0;18.0;0;0.0;13.0;459.0;17.0;1.0;18.0;0.0
134;00036-00000024.wmd;18.0;96.0;10.0;0;0.0;8.0;1.0;10.0;0.0;10.0;0.0
135;00036-00000058.wmd;35.0;396.0;24.0;0;0.0;0.0;0.0;24.0;3.0;24.0;2.0
136;00036-00000093.wmd;70.0;1419.0;37.0;5;5.0;;;;;37.0;35.0
137;00036-00000127.wmd;134.0;4889.0;82.0;61;11.0;;;;;;
138;00036-00000111.wmd;128.0;4108.0;83.0;48;9.0;;;;;;
139;00036-00000078.wmd;64.0;839.0;33.0;3;0.0;;;;;33.0;7.0
140;00036-00000031.wmd;32.0;325.0;23.0;0;0.0;16.0;23.0;22.0;31.0;23.0;0.0
141;00036-000000100.wmd;16.0;47.0;4.0;0;0.0;4.0;0.0;4.0;0.0;4.0;0.0
142;00036-00000089.wmd;67.0;1186.0;34.0;3;3.0;;;;;34.0;66.0
143;00036-00000005.wmd;16.0;70.0;5.0;0;0.0;2.0;0.0;3.0;0.0;4.0;0.0
144;00036-00000079.wmd;64.0;954.0;39.0;3;0.0;;;;;39.0;3.0
145;00036-00000034.wmd;32.0;248.0;18.0;0;0.0;10.0;31.0;17.0;5.0;18.0;0.0
146;00036-00000027.wmd;18.0;113.0;10.0;0;0.0;6.0;15.0;10.0;0.0;10.0;0.0
147;00036-00000052.wmd;35.0;418.0;24.0;0;0.0;0.0;0.0;24.0;1.0;24.0;1.0
148;00036-00000065.wmd;36.0;492.0;25.0;0;0.0;;;25.0;2.0;25.0;1.0
149;00036-00000119.wmd;128.0;3795.0;79.0;42;8.0;;;;;;
150;00036-00000050.wmd;33.0;278.0;14.0;0;0.0;9.0;293.0;13.0;25.0;14.0;0.0
151;00036-00000110.wmd;73.0;1851.0;47.0;7;2.0;;;;;47.0;41.0
152;00036-00000113.wmd;128.0;3684.0;78.0;42;7.0;;;;;;
153;00036-00000092.wmd;70.0;1577.0;46.0;5;1.0;;;;;46.0;46.0
154;00036-00000105.wmd;73.0;1921.0;57.0;8;2.0;;;;;57.0;45.0
155;00036-00000088.wmd;67.0;1349.0;47.0;4;1.0;;;;;47.0;23.0
